state,city,total_orders,total_customers,total_order_items,total_revenue,total_freight,average_order_value,average_freight_per_order,average_delivery_days,late_orders,late_delivery_rate_percent
SP,araras,93,88,113,13187.38,1823.04,141.8,19.6,9.56,5,5.38
RJ,nilopolis,103,101,114,13127.18,2335.8,127.45,22.68,14.28,14,13.59
SP,santa barbara d'oeste,118,117,135,13072.08,1908.05,110.78,16.17,8.08,4,3.39
MG,araxa,75,75,90,13046.42,1995.42,173.95,26.61,13.94,9,12.0
SC,jaragua do sul,88,84,110,12924.66,2373.38,146.87,26.97,13.39,5,5.68
MG,lavras,80,78,92,12790.96,1953.9,159.89,24.42,15.89,9,11.25
PE,olinda,89,88,94,12690.08,2391.34,142.59,26.87,21.1,13,14.61
SP,caieiras,97,94,101,12662.83,1523.45,130.54,15.71,7.64,3,3.09
MG,ribeirao das neves,98,93,118,12584.54,2187.8,128.41,22.32,11.44,5,5.1
SP,ourinhos,77,76,94,12543.03,1773.75,162.9,23.04,10.15,2,2.6
SP,pindamonhangaba,97,92,103,12341.28,1705.87,127.23,17.59,11.0,5,5.15
SP,itu,129,126,141,12266.34,1929.57,95.09,14.96,8.49,7,5.43
SP,itapetininga,77,76,94,12232.88,1815.57,158.87,23.58,9.89,6,7.79
RJ,belford roxo,104,102,114,12205.36,2418.99,117.36,23.26,14.48,7,6.73
MG,barbacena,79,73,90,12201.44,2008.27,154.45,25.42,12.11,4,5.06
SP,assis,84,79,101,12199.23,1620.08,145.23,19.29,9.77,1,1.19
SP,itatiba,97,94,107,12049.31,1584.7,124.22,16.34,7.93,1,1.03
ES,linhares,64,61,75,11925.11,2062.24,186.33,32.22,13.59,5,7.81
SP,mogi-guacu,89,85,104,11629.82,1493.21,130.67,16.78,9.87,5,5.62
SP,sao joao da boa vista,80,74,94,11627.81,1800.96,145.35,22.51,11.36,2,2.5
SP,caraguatatuba,83,82,104,11603.26,1809.17,139.8,21.8,11.35,5,6.02
PR,foz do iguacu,86,84,97,11506.38,2299.97,133.8,26.74,13.52,4,4.65
SP,amparo,63,58,71,11395.73,1210.99,180.88,19.22,10.02,3,4.76
AP,macapa,53,52,61,11352.43,2192.61,214.2,41.37,27.76,1,1.89
SC,lages,83,80,95,11281.11,2335.11,135.92,28.13,14.59,6,7.23
SP,tatui,72,71,82,11281.03,1388.52,156.68,19.29,10.23,1,1.39
MG,santa luzia,89,88,103,11199.17,1958.39,125.83,22.0,11.72,4,4.49
RS,sao leopoldo,103,100,114,11037.67,2148.03,107.16,20.85,14.88,9,8.74
MG,muriae,63,63,73,10949.43,1582.64,173.8,25.12,11.48,2,3.17
SC,palhoca,90,89,109,10910.46,2027.59,121.23,22.53,16.26,11,12.22
MG,araguari,54,53,58,10869.52,1179.42,201.29,21.84,10.91,2,3.7
BA,barreiras,51,50,58,10809.03,1878.48,211.94,36.83,19.15,3,5.88
SP,votorantim,84,83,98,10757.47,1328.17,128.07,15.81,8.11,2,2.38
CE,sobral,33,33,34,10648.85,1791.32,322.69,54.28,25.0,6,18.18
MT,rondonopolis,64,59,72,10644.04,1737.55,166.31,27.15,16.66,3,4.69
SC,gaspar,29,28,41,10623.34,979.61,366.32,33.78,13.16,1,3.45
SC,tubarao,60,55,67,10606.13,1519.64,176.77,25.33,14.64,4,6.67
ES,guarapari,66,63,73,10494.41,1457.41,159.01,22.08,14.99,7,10.61
RS,santa cruz do sul,62,60,80,10360.88,1613.77,167.11,26.03,15.58,3,4.84
SP,varzea paulista,75,70,82,10281.38,1812.3,137.09,24.16,11.5,3,4.0
BA,porto seguro,39,36,50,10241.09,1430.51,262.59,36.68,22.71,10,25.64
SP,salto,89,88,97,10184.03,1417.07,114.43,15.92,9.89,4,4.49
SP,ribeirao pires,106,105,119,10103.73,1621.93,95.32,15.3,8.19,4,3.77
SP,franco da rocha,108,103,114,10073.2,1757.03,93.27,16.27,7.31,1,0.93
MG,itabira,77,77,92,10069.51,2050.94,130.77,26.64,13.06,5,6.49
PR,toledo,70,69,76,10053.64,1635.02,143.62,23.36,13.74,5,7.14
GO,jatai,54,54,60,10040.37,1297.57,185.93,24.03,16.16,2,3.7
SP,cacapava,72,70,84,9928.07,1560.35,137.89,21.67,9.83,2,2.78
SP,itanhaem,74,72,96,9727.09,1643.56,131.45,22.21,11.01,2,2.7
SP,cajamar,97,95,113,9725.38,1688.21,100.26,17.4,8.08,3,3.09
MG,caratinga,62,61,71,9690.26,1521.19,156.29,24.54,11.9,3,4.84
SP,catanduva,72,68,79,9680.83,1241.2,134.46,17.24,8.92,2,2.78
SP,jau,73,71,84,9460.56,1386.96,129.6,19.0,8.29,2,2.74
SP,sao roque,75,73,88,9433.18,1288.01,125.78,17.17,9.21,2,2.67
GO,rio verde,63,63,90,9398.51,2366.71,149.18,37.57,17.32,3,4.76
SP,bertioga,47,46,52,9385.65,1056.69,199.69,22.48,11.64,4,8.51
SP,poa,85,81,100,9343.45,1460.35,109.92,17.18,6.58,2,2.35
RS,cachoeirinha,72,68,84,9297.25,1678.09,129.13,23.31,14.1,2,2.78
PE,caruaru,63,63,80,9265.7,3016.37,147.07,47.88,17.54,6,9.52
SP,lins,54,53,61,9162.66,1197.92,169.68,22.18,12.36,4,7.41
RJ,mesquita,75,73,95,9132.02,1795.3,121.76,23.94,14.04,7,9.33
SP,mairipora,75,74,83,9087.38,1258.29,121.17,16.78,8.21,5,6.67
SP,barretos,69,68,78,9077.11,1274.34,131.55,18.47,10.62,1,1.45
MG,conselheiro lafaiete,82,81,84,9061.46,1689.27,110.51,20.6,13.51,6,7.32
PR,pato branco,53,51,66,9047.64,1551.94,170.71,29.28,11.7,0,0.0
RS,bage,62,61,65,8936.64,1336.33,144.14,21.55,17.15,6,9.68
SP,vinhedo,90,89,107,8895.12,1486.89,98.83,16.52,8.4,1,1.11
MS,dourados,63,58,73,8849.71,1665.95,140.47,26.44,15.98,6,9.52
SP,mogi mirim,75,70,84,8833.97,1140.92,117.79,15.21,7.84,1,1.33
AL,arapiraca,29,28,34,8728.71,1421.32,300.99,49.01,24.41,3,10.34
PR,pinhais,66,66,73,8682.82,1420.92,131.56,21.53,10.43,1,1.52
BA,lauro de freitas,72,70,82,8632.98,2252.49,119.9,31.28,17.52,8,11.11
SP,pirassununga,69,67,74,8550.33,1315.9,123.92,19.07,11.52,6,8.7
BA,ilheus,69,69,79,8546.76,1953.34,123.87,28.31,20.45,11,15.94
MG,manhuacu,64,64,78,8510.0,1556.6,132.97,24.32,11.48,2,3.13
PR,guarapuava,62,61,74,8460.55,1439.65,136.46,23.22,12.71,2,3.23
SC,brusque,60,57,63,8421.55,1293.27,140.36,21.55,14.46,2,3.33
SP,itapecerica da serra,93,92,104,8399.01,1447.1,90.31,15.56,10.02,7,7.53
SP,avare,63,62,70,8382.97,1330.5,133.06,21.12,11.62,4,6.35
MG,lagoa santa,58,55,65,8378.6,1302.41,144.46,22.46,10.92,0,0.0
MG,paracatu,62,59,76,8376.42,1736.68,135.1,28.01,12.14,2,3.23
SP,votuporanga,63,61,76,8372.9,1367.29,132.9,21.7,10.09,1,1.59
SP,francisco morato,94,89,105,8344.17,1344.63,88.77,14.3,8.8,3,3.19
BA,luis eduardo magalhaes,36,36,43,8343.87,1194.82,231.77,33.19,21.84,7,19.44
SP,jaguariuna,60,60,80,8312.47,1283.11,138.54,21.39,7.91,1,1.67
SP,jandira,84,78,100,8260.47,1397.84,98.34,16.64,7.99,2,2.38
SP,ubatuba,72,69,83,8195.93,1341.02,113.83,18.63,12.8,4,5.56
MG,sao joao del rei,66,65,73,8168.07,1576.36,123.76,23.88,13.41,6,9.09
SP,leme,50,48,53,8152.92,1004.09,163.06,20.08,10.83,3,6.0
RS,lajeado,50,47,57,8068.41,1371.97,161.37,27.44,15.74,1,2.0
BA,itabuna,60,58,66,7874.55,1600.44,131.24,26.67,18.4,9,15.0
SC,videira,44,44,50,7822.35,1423.68,177.78,32.36,18.13,3,6.82
MG,teofilo otoni,75,73,94,7744.23,1842.4,103.26,24.57,12.51,3,4.0
MG,itauna,56,53,63,7743.95,1265.32,138.28,22.59,11.38,4,7.14
MG,timoteo,52,49,62,7697.87,1240.99,148.04,23.87,11.59,1,1.92
SP,sao sebastiao,56,55,72,7673.46,1140.34,137.03,20.36,11.14,3,5.36
SP,lorena,82,77,93,7650.03,1487.68,93.29,18.14,10.89,3,3.66
SP,aruja,68,65,76,7606.78,1092.88,111.86,16.07,6.54,0,0.0
MG,nova serrana,49,49,56,7447.26,1230.34,151.98,25.11,13.81,3,6.12
MS,tres lagoas,42,41,47,7431.32,1113.63,176.94,26.52,20.71,6,14.29
SP,fernandopolis,52,52,57,7415.16,951.28,142.6,18.29,9.67,1,1.92
BA,juazeiro,42,42,47,7401.28,1242.1,176.22,29.57,23.91,8,19.05
PR,colombo,60,57,74,7386.9,1627.98,123.11,27.13,12.1,3,5.0
TO,araguaina,38,37,38,7384.79,1561.33,194.34,41.09,22.05,7,18.42
PR,paranagua,58,56,67,7339.46,1439.01,126.54,24.81,12.65,5,8.62
RN,parnamirim,57,55,64,7305.32,1822.2,128.16,31.97,16.13,4,7.02
PR,francisco beltrao,50,49,57,7291.58,1086.54,145.83,21.73,10.16,1,2.0
PR,campo mourao,56,54,64,7259.52,1320.17,129.63,23.57,13.18,2,3.57
MG,ibirite,47,45,48,7241.58,1075.51,154.08,22.88,10.57,1,2.13
BA,camacari,60,58,74,7240.24,1482.34,120.67,24.71,20.78,11,18.33
RJ,tres rios,38,36,39,7172.62,841.84,188.75,22.15,13.5,3,7.89
MA,imperatriz,40,39,44,7171.38,1973.4,179.28,49.33,22.01,7,17.5
SP,matao,51,51,57,7162.72,1198.13,140.45,23.49,9.85,0,0.0
MG,para de minas,37,35,41,7162.08,832.51,193.57,22.5,12.06,2,5.41
PR,paranavai,45,44,56,7120.95,1133.98,158.24,25.2,13.28,2,4.44
BA,jacobina,23,22,23,7029.76,664.16,305.64,28.88,17.2,2,8.7
SP,cubatao,79,76,87,6996.03,1175.39,88.56,14.88,10.61,5,6.33
RR,boa vista,40,39,45,6967.57,1900.26,174.19,47.51,29.66,5,12.5
MG,joao monlevade,50,46,58,6941.9,1290.62,138.84,25.81,10.78,1,2.0
SP,itapira,52,50,58,6933.03,1051.59,133.33,20.22,11.27,2,3.85
ES,colatina,63,61,79,6866.52,1590.32,108.99,25.24,13.03,6,9.52
SP,boituva,47,45,54,6852.15,1122.34,145.79,23.88,10.18,1,2.13
MG,ponte nova,39,38,46,6847.89,966.89,175.59,24.79,12.28,1,2.56
MG,unai,54,53,57,6825.39,1239.12,126.4,22.95,12.93,3,5.56
MG,pirapora,42,40,49,6803.07,1039.09,161.98,24.74,10.91,0,0.0
BA,eunapolis,36,35,40,6788.61,927.02,188.57,25.75,15.82,2,5.56
SC,navegantes,31,29,36,6783.17,717.68,218.81,23.15,13.13,2,6.45
MG,patrocinio,45,44,55,6747.54,1276.01,149.95,28.36,11.34,2,4.44
SP,sertaozinho,61,60,73,6724.23,1105.5,110.23,18.12,10.19,1,1.64
SP,lencois paulista,43,43,46,6720.22,845.26,156.28,19.66,9.02,1,2.33
MG,ouro preto,55,54,64,6711.56,1438.35,122.03,26.15,14.07,3,5.45
CE,juazeiro do norte,31,31,35,6698.0,1440.34,216.06,46.46,20.25,3,9.68
PR,apucarana,51,49,60,6684.36,1428.44,131.07,28.01,12.25,2,3.92
SP,cosmopolis,50,48,58,6668.9,976.37,133.38,19.53,9.99,1,2.0
RS,bento goncalves,53,51,61,6648.58,1498.2,125.44,28.27,12.12,1,1.89
MT,varzea grande,37,36,43,6630.35,1033.31,179.2,27.93,20.59,4,10.81
RJ,paracambi,35,35,36,6571.96,944.27,187.77,26.98,14.37,3,8.57
ES,sao mateus,47,43,50,6569.97,1109.66,139.79,23.61,15.73,4,8.51
RJ,itaborai,56,53,60,6555.85,1227.32,117.07,21.92,18.14,10,17.86
SP,peruibe,43,42,63,6531.12,1166.86,151.89,27.14,13.0,2,4.65
BA,paulo afonso,39,39,45,6492.59,1349.54,166.48,34.6,19.88,2,5.13
SP,tupa,52,52,61,6483.03,1007.91,124.67,19.38,10.35,2,3.85
RS,viamao,70,68,82,6479.31,1489.41,92.56,21.28,19.27,8,11.43
RS,erechim,56,52,61,6420.89,1268.17,114.66,22.65,16.02,3,5.36
BA,valenca,35,32,37,6373.59,1032.83,182.1,29.51,21.17,4,11.43
MG,uba,53,51,68,6369.76,1364.24,120.18,25.74,14.05,7,13.21
SP,itapeva,52,51,61,6360.23,939.98,122.31,18.08,8.4,1,1.92
PR,arapongas,32,31,39,6325.06,827.43,197.66,25.86,14.63,4,12.5
SP,andradina,40,38,47,6302.53,784.96,157.56,19.62,9.83,0,0.0
RS,osorio,35,34,41,6251.24,974.51,178.61,27.84,12.1,0,0.0
BA,alagoinhas,40,39,43,6249.23,1179.1,156.23,29.48,20.58,8,20.0
SP,embu-guacu,46,45,57,6244.68,818.14,135.75,17.79,8.32,0,0.0
MT,primavera do leste,28,27,31,6232.81,860.1,222.6,30.72,18.44,0,0.0
RS,alvorada,50,50,54,6207.73,1160.89,124.15,23.22,15.32,4,8.0
MT,sinop,43,41,54,6164.65,1532.17,143.36,35.63,20.03,6,13.95
RJ,itaguai,46,45,47,6122.54,1079.78,133.1,23.47,11.85,4,8.7
SC,itapema,44,42,48,6109.87,1123.55,138.86,25.54,12.56,1,2.27
SP,cruzeiro,56,54,68,6109.5,1349.27,109.1,24.09,10.7,3,5.36
SC,sao miguel do oeste,39,39,47,6095.82,1069.48,156.3,27.42,13.84,1,2.56
MG,guaxupe,37,31,41,6081.17,885.83,164.36,23.94,12.82,2,5.41
RS,esteio,39,39,44,6068.71,917.74,155.61,23.53,17.96,5,12.82
SP,mococa,33,31,39,6020.97,737.9,182.45,22.36,9.82,0,0.0
MG,vespasiano,41,40,46,5953.69,888.69,145.21,21.68,11.17,2,4.88
SP,artur nogueira,40,40,48,5949.7,774.18,148.74,19.35,7.88,0,0.0
SP,registro,45,44,49,5929.57,879.64,131.77,19.55,11.44,1,2.22
CE,caucaia,35,35,37,5856.66,1236.06,167.33,35.32,23.51,5,14.29
SP,mirassol,29,29,31,5850.89,532.44,201.75,18.36,9.8,2,6.9
RJ,queimados,53,52,65,5841.85,1206.7,110.22,22.77,12.08,2,3.77
PR,umuarama,40,39,40,5770.52,832.49,144.26,20.81,14.33,3,7.5
SP,jaboticabal,50,49,56,5747.12,1029.85,114.94,20.6,10.84,1,2.0
PE,paulista,41,41,49,5736.77,1339.85,139.92,32.68,19.63,5,12.2
MT,lucas do rio verde,23,23,29,5667.76,796.2,246.42,34.62,19.84,3,13.04
SP,olimpia,36,36,40,5643.54,721.61,156.76,20.04,10.42,1,2.78
RS,ijui,52,50,66,5584.45,1285.71,107.39,24.73,14.95,0,0.0
RJ,itaperuna,46,44,53,5563.58,1094.44,120.95,23.79,19.09,11,23.91
SP,batatais,27,25,30,5559.93,570.62,205.92,21.13,8.65,1,3.7
SC,concordia,47,46,61,5503.59,1227.36,117.1,26.11,17.15,8,17.02
GO,valparaiso de goias,37,36,42,5437.85,986.66,146.97,26.67,14.54,1,2.7
MG,ituiutaba,53,44,62,5431.17,1161.85,102.47,21.92,12.17,2,3.77
RS,guaiba,31,29,37,5417.51,721.62,174.76,23.28,13.81,3,9.68
